run_id,name,max_da_km,max_de,max_di_deg,max_R_km,max_S_km,max_W_km
0,reference,0.07955008651968092,6.808240039202207e-05,0.003112555234242215,0.45310364578414236,5.38627710904818,0.4469527819379625
1,point_mass,17.235444086473436,0.001867987151594355,0.010632409255741057,7.240444203066809,243.8592250538717,107.61205445377959
2,drag_off,0.0817997427098453,6.76449817289354e-05,0.0031136191365513845,0.4576967820903104,6.251186048975262,0.44705285496806524
3,Cd+10%,0.08143539562728255,6.812614323770854e-05,0.0031124489116069903,0.4549237482214115,5.312494244847577,0.446942782716614
4,Cd+50%,0.08899300720728934,6.830347698441683e-05,0.003112023545356169,0.46222147521666396,5.609126329703105,0.446902784391012
5,Cd+100%,0.09847693802881986,6.85257341799195e-05,0.003111491781269088,0.47138268251512944,6.228588780988404,0.44685280090918894
6,no_3rd_body,0.08016491647996009,6.810356294016369e-05,0.0031337489403085693,0.4537702893407566,5.395043600728227,0.4386416386466364
7,sun_moon_only,0.07955008583888412,6.808240148076022e-05,0.0031125550530778203,0.4531036439113947,5.386277367902875,0.44695265000509943
8,moon_only,0.07979583455435932,6.814754916313853e-05,0.0031813058333806936,0.45412246999131994,5.422761144402103,0.4547785332329147
9,srp_off,0.07955852702539414,6.815697524254502e-05,0.00310911508257315,0.45411304949237163,5.396306772247294,0.44633487148875906
10,Cr+10%,0.07954926409386098,6.80751887411436e-05,0.0031128993050701004,0.45300441396712365,5.385278748579497,0.44701457188252347
11,Cr+50%,0.0795458763372153,6.804629736272244e-05,0.0031142753555268732,0.45260797084642035,5.3812853257453765,0.4472617369932175
12,Cr+100%,0.0795416746167466,6.801008829006685e-05,0.003115995437957876,0.4521342798436804,5.376309690449209,0.4475706878546355
